Chien Dog
Fantastique Fantastic
Au-revoir Goodbye
Bonjour Hello
Maison House
Fourchette Fork
Lit Bed
Oreiller Pillow
Ville City
Lac Lake
Montagne Mountain
Nation Nation
Vert Green
Bleu Blue
Avoir Have
Jouer Play
Soleil Sun
Lune Moon
Ciel Sky
Avion Airplane
Voiture Car
Moto Motorbike
Vague Wave
Poisson Fish
Chat Cat
Nourriture Food
Restaurant Restaurant
Petit-dejeuner Breakfast
Dejeuner Lunch
Diner Dinner
Preferee/prefere Favorite
Ecole School
Universite University
Boire Drink
Eau Water
Tot Early
Tard Late
Amour Love
Couverture Blanket
Bouteille Bottle
Peinture Painting
Canape Couch
Verre Glass
tasse Cup
bougie Candle
douche Shower
brosse a dents Toothbrush
laver Wash
nettoyer Clean
Vetements Clothes
