Fantastico Fantastic
Cane Dog
addio Goodbye
Ciao Hello
Casa House
Forchetta Fork
Letto Bed
Cuscino Pillow
Citta City
Lago Lake
Montagna Mountain
Nazione Nation
Verde Green
Blu Blue
Avere Have
Giocare Play
Sole Sun
Luna Moon
Cielo Sky
Aeroplano Airplane
Macchina Car
Motocicletta Motorbike
Onda Wave
Pesce Fish
Gatto Cat
Cibo Food
Ristorante Restaurant
Colazione Breakfast
Pranzo Lunch
Cena Dinner
Preferita/o Favorite
Scuola School
Universita University
Bere Drink
Acqua Water
Presto Early
Tardi Late
Amore Love
Coperta Blanket
Bottiglia Bottle
Pittura Painting
Divano Couch
Bicchiere Glass
Tazza Cup
Candela Candle
Doccia Shower
Spazzolino Toothbrush
Lavare Wash
Pulita/o Clean
Vestiti Clothes
