Fantastico Fantastic 
Perro Dog
Adios Goodbye
Hola Hello
Tenedor Fork
Cama Bed
Almohada Pillow
Ciudad City
Lago Lake
Montana Mountain
Nacion Nation
Azul Blue
Tener Have
Jugar Play
Sol Sun
Luna Moon
Cielo Sky
Avion Airplane
Coche Car
Motocicleta Motorbike
Ola Wave
Pez Fish
Gato Cat
Casa House
Verde Green
Comida Food
Restaurante Restaurant
Desayuno Breakfast
Almuerza/o Lunch
Lena Dinner
Favorita/o Favorite
Escuela School
Universidad University
Bebida Drink
Agua Water
Temprana/o Early
Tarde Late
Amor Love
Frazada Blanket
Botella Bottle
Cuadro Painting
Sofa Couch
Vast Glass
Taza Cup
Vela Candle
Ducha Shower
Cepillo-de-dientes Toothbrush
Lavar Wash
Limpiar Clean
Ropa Clothes
